about	52
above	5
across	6
after	9
against	20
along	15
along with	1
around	21
as	23
at	42
bar	45
before	5
behind	4	
besides	1	
between	6	
beyond	2	
but	5	
by	29	
care of	3	
come	4	
down	172	
for	117	
for all	1	
fore	1	
from	22	
gone	4	
in	163	
in favour of	1	
in the face of	1	
inside	1	
into	49	
less	9	
like	8	
midst	1	
near	4	
of	353	
off	246	
on	317	
on top of	1	
other than	1	
out of	30	
outside	3	
outside of	1	
over	101	
pace	8	
past	3	
per	2	
re	2	
round	40	
short of	2	
since	1	
than	8	
thanks to	1	
through	45	
to	181	
under	14	
up	417	
up against	2	
up and down	2	
up for	1	
up to	14	
upon	4	
vice	2	
while	2	
with	126	
without	3	
Grand Total	2785	
